"at","score","content","sentiment","pos_score","neg_score"
"2026-01-14 06:05:16","5","제가 좋아하는 웹툰을 찾아서 보는게 편하고 재미있어요.","긍정","3","0"
"2026-01-14 02:33:24","1","광고땜에 짜증난다,","부정","0","3"
"2026-01-14 02:21:38","5","굿","긍정","0","0"
"2026-01-14 01:59:44","2","마비노기 이벤트 캐릭터 만들면 쿠키 준다면서 만들었더니 안주는건 또 뭐임?? 11번가 앱 최초접속 했을때도 쿠키 안주더만..그래도 웹툰이 재미있는게 많아서 2점줌ㅋ","부정","2","0"
"2026-01-14 01:47:05","1","구글포인트로 쿠키결제 했는데 쿠키가들어오지두 더구입도 되지않습니다 이게 몇일되니 너무불편합니다 빠른시내에 원상복구시켜주세요","부정","0","2"
"2026-01-13 17:23:16","2","제발 '킬링 스프리' 겁나 재밌게 보고 이거때문에 결제까지 했는데 네이버 본사문제인가 뭐든간에 그냥 멋대로 급완결시키는 짓 좀 제발 안했으면 좋겠어요 그만했으면 좋겠어요 ㅈㅂ 겁나 재밌게 보고있었는데 흥 떨어지게 만드네","부정","0","0"
"2026-01-13 13:50:22","5","좋아요!","긍정","2","0"
"2026-01-13 13:33:55","4","어떤 문제인지는 모르겠으나 다른 대부분의 웹툰들은 전부 잘 되고 휴재를 해도 다시 꾸준히 나오는데 그 웹툰은 ""화산귀환"" 화산귀환 리코팀 응원하고 다시 나올 수 있도록 응원합니다..","긍정","1","0"
"2026-01-13 13:26:47","5","좋아요 좋아~ 너무 재밌게보고있습니다 작가님들 응원할께요~!","긍정","3","0"
"2026-01-13 11:29:35","5","개추요 재밋는 웹툰 많이보구갑니다~","긍정","0","0"
"2026-01-13 10:46:27","5","매번 노력하는 네이버!!! 감사합니다!","긍정","1","0"
"2026-01-12 23:39:58","1","베댓 왜 이렇게 바꿨어요? 좋아요 몇개 이하는 안 보이게 해야지 죄다 보이면 어쩌자는거","부정","2","0"
"2026-01-12 19:35:33","5","굳","긍정","0","0"
"2026-01-12 16:14:00","5","진짜 카카오 웹툰(?) 보다 진짜 웹툰도 많고 겁나 재밌는 웹툰 밖에 없음!!!!","긍정","0","0"
"2026-01-12 14:41:04","5","네이버역시웹투도간기나게멋있고스토리로룻기고탄탄한스토리도있구..로맨스와좋은그림체랑.. 전투웹툽까지다너무마음에들어요!!!!!!!!!!!!!!!!!!!!!! 나도언젠가웹툰작가될꾸야!!!!","긍정","0","0"
"2026-01-12 12:30:56","1","웹툰 하단에 댓글은 왜 미리보기로 뜨는 거임..","부정","0","0"
"2026-01-12 09:43:26","5","👍","긍정","0","0"
"2026-01-12 09:15:05","5","굿 굿 굿","긍정","0","0"
"2026-01-12 08:03:10","5","너무 좋아요","긍정","2","0"
"2026-01-12 07:59:08","5","무료로 웹툰을 볼 수 있다는 점과 완결 웹툰 하루에 한번 대여해서 볼 수 있어서 좋음","긍정","0","0"
"2026-01-12 06:09:31","1","아니 쿠키 구매하자마자 튕김 왜 하..... 나한테만이러는거야 로그인도 안되고 인증해도 튕기고 그냥 다른 웹툰 볼게요","부정","0","0"
"2026-01-12 04:08:02","5","겁나 좋아요","긍정","2","0"
"2026-01-12 02:34:58","5","굿 굿 잼잼","긍정","0","0"
"2026-01-12 01:42:28","5","굿,아주 굿","긍정","0","0"
"2026-01-11 22:06:51","1","쿠키 미지급 경험이 불쾌함","부정","0","0"
"2026-01-11 14:10:04","5","재미있는 웹툰이 많아요.","긍정","2","0"
"2026-01-11 12:20:19","5","재밌어요! 시간떼우기 아주좋아요 강력추천!!","긍정","8","0"
"2026-01-11 12:15:36","5","네이버 웹툰을 n년째 보고 있는 학생 입니다. n년째 웹툰을 보면서 꽤 좋은것 같다고 생각 합니다. 컷츠도 생겨서 시간 날때 마다 보고 있어요. 좋은 웹툰들도 많고 합니다. 캐릭터챗,지금 뭐봐?,겟짤 등 시간 날때마다 하고 봅니다. 새로운게 나올때 마다 기대합니다.","긍정","0","0"
"2026-01-11 09:20:39","5","깔았다가 지웠는데 추천","긍정","2","0"
